datetime,quantity,price,name
2019-07-19 19:12:00,1,0.5,Mint Sauce
2019-07-19 19:06:00,1,0.5,Red Sauce
2019-07-19 19:06:00,1,0.5,Mint Sauce
2019-07-19 19:06:00,1,0.5,Lime Pickle
2019-07-19 18:10:00,1,0.5,Lime Pickle
2019-07-19 18:08:00,1,0.5,Mango Chutney
2019-07-19 18:05:00,1,0.5,Mango Chutney
2019-07-19 17:42:00,2,0.5,Mango Chutney
2019-07-19 17:31:00,2,0.5,Mango Chutney
2019-07-19 17:31:00,2,0.5,Onion Chutney
2019-07-19 17:14:00,1,0.5,Mango Chutney
2019-07-16 20:22:00,2,0.5,Onion Chutney
2019-07-16 19:02:00,2,0.5,Mango Chutney
2019-07-16 17:35:00,1,0.5,Lime Pickle
2019-07-15 21:44:00,1,0.5,Mint Sauce
2019-07-15 21:30:00,1,0.5,Mint Sauce
2019-07-15 20:35:00,1,0.5,Mint Sauce
2019-07-15 19:18:00,2,0.5,Mango Chutney
2019-07-15 18:51:00,1,0.5,Mango Chutney
2019-07-15 18:51:00,1,0.5,Mint Sauce
2019-07-15 18:51:00,1,0.5,Onion Chutney
2019-07-14 20:29:00,1,0.5,Mint Sauce
2019-07-14 20:23:00,2,0.5,Mint Sauce
